[2025-12-30 12:14:05] [*] Starting ZAP Quick Scan for http://testphp.vulnweb.com (User: 1)...
[2025-12-30 12:14:05] Checking for and terminating existing ZAP processes...
[2025-12-30 12:14:07] No running ZAP processes found.
[2025-12-30 12:14:07] 
--- Starting ZAP Quick Scan ---
[2025-12-30 12:14:07] Target: http://testphp.vulnweb.com
[2025-12-30 12:14:07] Report will be saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:14:07] Executing command: C:\Program Files\ZAP\Zed Attack Proxy\zap.bat -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:07] --- ZAP Output Stream Started ---
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2025-12-30 12:28:05] [============        ] 60% \
[2025-12-30 12:28:05] [============        ] 60% |
[2025-12-30 12:28:06] [============        ] 60% /
[2025-12-30 12:28:06] [============        ] 60% -
[2025-12-30 12:28:07] [============        ] 60% \
[2025-12-30 12:28:07] [============        ] 60% |
[2025-12-30 12:28:08] [============        ] 60% /
[2025-12-30 12:28:08] [============        ] 60% -
[2025-12-30 12:28:09] [============        ] 60% \
[2025-12-30 12:28:09] [============        ] 60% |
[2025-12-30 12:28:10] [============        ] 60% /
[2025-12-30 12:28:10] [============        ] 60% -
[2025-12-30 12:28:11] [============        ] 60% \
[2025-12-30 12:28:11] [============        ] 60% |
[2025-12-30 12:28:12] [============        ] 60% /
[2025-12-30 12:28:12] [============        ] 60% -
[2025-12-30 12:28:13] [============        ] 60% \
[2025-12-30 12:28:13] [============        ] 60% |
[2025-12-30 12:28:14] [============        ] 60% /
[2025-12-30 12:28:14] [============        ] 60% -
[2025-12-30 12:28:15] [============        ] 60% \
[2025-12-30 12:28:15] [============        ] 60% |
[2025-12-30 12:28:16] [============        ] 60% /
[2025-12-30 12:28:16] [============        ] 60% -
[2025-12-30 12:28:17] [============        ] 60% \
[2025-12-30 12:28:17] [============        ] 60% |
[2025-12-30 12:28:18] [============        ] 60% /
[2025-12-30 12:28:18] [============        ] 60% -
[2025-12-30 12:28:19] [============        ] 60% \
[2025-12-30 12:28:19] [============        ] 60% |
[2025-12-30 12:28:20] [============        ] 60% /
[2025-12-30 12:28:20] [============        ] 60% -
[2025-12-30 12:28:21] [============        ] 60% \
[2025-12-30 12:28:21] [============        ] 60% |
[2025-12-30 12:28:22] [============        ] 60% /
[2025-12-30 12:28:22] [============        ] 60% -
[2025-12-30 12:28:23] [============        ] 60% \
[2025-12-30 12:28:23] [============        ] 60% |
[2025-12-30 12:28:24] [============        ] 61% /
[2025-12-30 12:28:24] [============        ] 61% -
[2025-12-30 12:28:25] [============        ] 61% \
[2025-12-30 12:28:25] [============        ] 61% |
[2025-12-30 12:28:26] [============        ] 61% /
[2025-12-30 12:28:26] [============        ] 61% -
[2025-12-30 12:28:27] [============        ] 62% \
[2025-12-30 12:28:27] [============        ] 62% |
[2025-12-30 12:28:28] [============        ] 62% /
[2025-12-30 12:28:28] [============        ] 62% -
[2025-12-30 12:28:29] [============        ] 62% \
[2025-12-30 12:28:29] [============        ] 62% |
[2025-12-30 12:28:30] [============        ] 62% /
[2025-12-30 12:28:30] [============        ] 62% -
[2025-12-30 12:28:31] [============        ] 62% \
[2025-12-30 12:28:31] [============        ] 62% |
[2025-12-30 12:28:32] [============        ] 62% /
[2025-12-30 12:28:32] [============        ] 62% -
[2025-12-30 12:28:33] [============        ] 62% \
[2025-12-30 12:28:33] [============        ] 62% |
[2025-12-30 12:28:34] [============        ] 62% /
[2025-12-30 12:28:34] [============        ] 62% -
[2025-12-30 12:28:35] [============        ] 62% \
[2025-12-30 12:28:35] [============        ] 62% |
[2025-12-30 12:28:36] [============        ] 62% /
[2025-12-30 12:28:36] [============        ] 62% -
[2025-12-30 12:28:37] [============        ] 62% \
[2025-12-30 12:28:37] [============        ] 62% |
[2025-12-30 12:28:38] [============        ] 62% /
[2025-12-30 12:28:38] [============        ] 62% -
[2025-12-30 12:28:39] [============        ] 62% \
[2025-12-30 12:28:40] [============        ] 62% |
[2025-12-30 12:28:40] [============        ] 62% /
[2025-12-30 12:28:41] [============        ] 62% -
[2025-12-30 12:28:41] [============        ] 62% \
[2025-12-30 12:28:42] [============        ] 62% |
[2025-12-30 12:28:42] [============        ] 62% /
[2025-12-30 12:28:43] [============        ] 62% -
[2025-12-30 12:28:43] [============        ] 62% \
[2025-12-30 12:28:44] [============        ] 62% |
[2025-12-30 12:28:44] [============        ] 62% /
[2025-12-30 12:28:45] [============        ] 62% -
[2025-12-30 12:28:45] [============        ] 62% \
[2025-12-30 12:28:46] [============        ] 62% |
[2025-12-30 12:28:46] [============        ] 62% /
[2025-12-30 12:28:47] [============        ] 62% -
[2025-12-30 12:28:47] [============        ] 62% \
[2025-12-30 12:28:48] [============        ] 62% |
[2025-12-30 12:28:48] [============        ] 62% /
[2025-12-30 12:28:49] [============        ] 62% -
[2025-12-30 12:28:49] [============        ] 62% \
[2025-12-30 12:28:50] [============        ] 62% |
[2025-12-30 12:28:50] [============        ] 62% /
[2025-12-30 12:28:51] [============        ] 62% -
[2025-12-30 12:28:51] [============        ] 62% \
[2025-12-30 12:28:52] [============        ] 62% |
[2025-12-30 12:28:52] [============        ] 62% /
[2025-12-30 12:28:53] [============        ] 62% -
[2025-12-30 12:28:53] [============        ] 62% \
[2025-12-30 12:28:54] [============        ] 62% |
[2025-12-30 12:28:54] [============        ] 62% /
[2025-12-30 12:28:55] [============        ] 62% -
[2025-12-30 12:28:55] [============        ] 62% \
[2025-12-30 12:28:56] [============        ] 62% |
[2025-12-30 12:28:56] [============        ] 62% /
[2025-12-30 12:28:57] [============        ] 62% -
[2025-12-30 12:28:57] [============        ] 62% \
[2025-12-30 12:28:58] [============        ] 62% |
[2025-12-30 12:28:58] [============        ] 62% /
[2025-12-30 12:28:59] [============        ] 62% -
[2025-12-30 12:28:59] [============        ] 62% \
[2025-12-30 12:29:00] [============        ] 62% |
[2025-12-30 12:29:00] [============        ] 62% /
[2025-12-30 12:29:01] [============        ] 62% -
[2025-12-30 12:29:01] [============        ] 62% \
[2025-12-30 12:29:02] [============        ] 62% |
[2025-12-30 12:29:02] [============        ] 62% /
[2025-12-30 12:29:03] [============        ] 62% -
[2025-12-30 12:29:03] [============        ] 62% \
[2025-12-30 12:29:04] [============        ] 62% |
[2025-12-30 12:29:04] [============        ] 62% /
[2025-12-30 12:29:05] [============        ] 62% -
[2025-12-30 12:29:05] [============        ] 62% \
[2025-12-30 12:29:06] [============        ] 62% |
[2025-12-30 12:29:06] [============        ] 62% /
[2025-12-30 12:29:07] [============        ] 62% -
[2025-12-30 12:29:07] [============        ] 62% \
[2025-12-30 12:29:08] [============        ] 62% |
[2025-12-30 12:29:08] [============        ] 62% /
[2025-12-30 12:29:09] [============        ] 62% -
[2025-12-30 12:29:09] [============        ] 62% \
[2025-12-30 12:29:10] [============        ] 62% |
[2025-12-30 12:29:10] [============        ] 62% /
[2025-12-30 12:29:11] [============        ] 62% -
[2025-12-30 12:29:11] [============        ] 62% \
[2025-12-30 12:29:12] [============        ] 62% |
[2025-12-30 12:29:12] [============        ] 62% /
[2025-12-30 12:29:13] [============        ] 62% -
[2025-12-30 12:29:13] [============        ] 62% \
[2025-12-30 12:29:14] [============        ] 62% |
[2025-12-30 12:29:14] [============        ] 62% /
[2025-12-30 12:29:15] [============        ] 62% -
[2025-12-30 12:29:15] [============        ] 62% \
[2025-12-30 12:29:16] [============        ] 62% |
[2025-12-30 12:29:16] [============        ] 62% /
[2025-12-30 12:29:17] [============        ] 62% -
[2025-12-30 12:29:18] [============        ] 62% \
[2025-12-30 12:29:18] [============        ] 62% |
[2025-12-30 12:29:19] [============        ] 62% /
[2025-12-30 12:29:19] [============        ] 62% -
[2025-12-30 12:29:20] [============        ] 62% \
[2025-12-30 12:29:20] [============        ] 63% |
[2025-12-30 12:29:21] [============        ] 63% /
[2025-12-30 12:29:21] [============        ] 63% -
[2025-12-30 12:29:22] [============        ] 63% \
[2025-12-30 12:29:22] [============        ] 63% |
[2025-12-30 12:29:23] [============        ] 63% /
[2025-12-30 12:29:23] [============        ] 63% -
[2025-12-30 12:29:24] [============        ] 64% \
[2025-12-30 12:29:24] [============        ] 64% |
[2025-12-30 12:29:25] [============        ] 64% /
[2025-12-30 12:29:25] [============        ] 64% -
[2025-12-30 12:29:26] [============        ] 64% \
[2025-12-30 12:29:26] [============        ] 64% |
[2025-12-30 12:29:27] [============        ] 64% /
[2025-12-30 12:29:27] [============        ] 64% -
[2025-12-30 12:29:28] [============        ] 64% \
[2025-12-30 12:29:28] [============        ] 64% |
[2025-12-30 12:29:29] [============        ] 64% /
[2025-12-30 12:29:29] [============        ] 64% -
[2025-12-30 12:29:30] [============        ] 64% \
[2025-12-30 12:29:30] [============        ] 64% |
[2025-12-30 12:29:31] [============        ] 64% /
[2025-12-30 12:29:31] [============        ] 64% -
[2025-12-30 12:29:32] [============        ] 64% \
[2025-12-30 12:29:32] [============        ] 64% |
[2025-12-30 12:29:33] [============        ] 64% /
[2025-12-30 12:29:33] [============        ] 64% -
[2025-12-30 12:29:34] [============        ] 64% \
[2025-12-30 12:29:34] [============        ] 64% |
[2025-12-30 12:29:35] [============        ] 64% /
[2025-12-30 12:29:35] [============        ] 64% -
[2025-12-30 12:29:36] [============        ] 64% \
[2025-12-30 12:29:36] [============        ] 64% |
[2025-12-30 12:29:37] [============        ] 64% /
[2025-12-30 12:29:37] [============        ] 64% -
[2025-12-30 12:29:38] [============        ] 64% \
[2025-12-30 12:29:38] [============        ] 64% |
[2025-12-30 12:29:39] [============        ] 64% /
[2025-12-30 12:29:39] [============        ] 64% -
[2025-12-30 12:29:40] [============        ] 64% \
[2025-12-30 12:29:40] [============        ] 64% |
[2025-12-30 12:29:41] [============        ] 64% /
[2025-12-30 12:29:41] [============        ] 64% -
[2025-12-30 12:29:42] [============        ] 64% \
[2025-12-30 12:29:42] [============        ] 64% |
[2025-12-30 12:29:43] [============        ] 64% /
[2025-12-30 12:29:43] [============        ] 64% -
[2025-12-30 12:29:44] [============        ] 64% \
[2025-12-30 12:29:44] [============        ] 64% |
[2025-12-30 12:29:45] [============        ] 64% /
[2025-12-30 12:29:45] [============        ] 64% -
[2025-12-30 12:29:46] [============        ] 64% \
[2025-12-30 12:29:46] [============        ] 64% |
[2025-12-30 12:29:47] [============        ] 64% /
[2025-12-30 12:29:47] [============        ] 64% -
[2025-12-30 12:29:48] [============        ] 64% \
[2025-12-30 12:29:48] [============        ] 64% |
[2025-12-30 12:29:49] [============        ] 64% /
[2025-12-30 12:29:49] [============        ] 64% -
[2025-12-30 12:29:50] [============        ] 64% \
[2025-12-30 12:29:50] [============        ] 64% |
[2025-12-30 12:29:51] [============        ] 64% /
[2025-12-30 12:29:51] [============        ] 64% -
[2025-12-30 12:29:52] [============        ] 64% \
[2025-12-30 12:29:52] [============        ] 64% |
[2025-12-30 12:29:53] [============        ] 64% /
[2025-12-30 12:29:53] [============        ] 64% -
[2025-12-30 12:29:54] [============        ] 64% \
[2025-12-30 12:29:54] [============        ] 64% |
[2025-12-30 12:29:55] [============        ] 64% /
[2025-12-30 12:29:55] [============        ] 64% -
[2025-12-30 12:29:56] [============        ] 64% \
[2025-12-30 12:29:56] [============        ] 64% |
[2025-12-30 12:29:57] [============        ] 64% /
[2025-12-30 12:29:57] [============        ] 64% -
[2025-12-30 12:29:58] [============        ] 64% \
[2025-12-30 12:29:58] [============        ] 64% |
[2025-12-30 12:29:59] [============        ] 64% /
[2025-12-30 12:29:59] [============        ] 64% -
[2025-12-30 12:30:00] [============        ] 64% \
[2025-12-30 12:30:00] [============        ] 64% |
[2025-12-30 12:30:01] [============        ] 64% /
[2025-12-30 12:30:01] [============        ] 64% -
[2025-12-30 12:30:02] [============        ] 64% \
[2025-12-30 12:30:03] [============        ] 64% |
[2025-12-30 12:30:03] [============        ] 64% /
[2025-12-30 12:30:04] [============        ] 64% -
[2025-12-30 12:30:04] [============        ] 64% \
[2025-12-30 12:30:05] [============        ] 64% |
[2025-12-30 12:30:05] [============        ] 64% /
[2025-12-30 12:30:06] [============        ] 64% -
[2025-12-30 12:30:06] [============        ] 64% \
[2025-12-30 12:30:07] [============        ] 64% |
[2025-12-30 12:30:07] [============        ] 64% /
[2025-12-30 12:30:08] [============        ] 64% -
[2025-12-30 12:30:08] [============        ] 64% \
[2025-12-30 12:30:09] [============        ] 64% |
[2025-12-30 12:30:09] [============        ] 64% /
[2025-12-30 12:30:10] [============        ] 64% -
[2025-12-30 12:30:10] [============        ] 64% \
[2025-12-30 12:30:11] [============        ] 64% |
[2025-12-30 12:30:11] [============        ] 64% /
[2025-12-30 12:30:12] [============        ] 64% -
[2025-12-30 12:30:12] [============        ] 64% \
[2025-12-30 12:30:13] [============        ] 64% |
[2025-12-30 12:30:13] [============        ] 64% /
[2025-12-30 12:30:14] [============        ] 64% -
[2025-12-30 12:30:14] [============        ] 64% \
[2025-12-30 12:30:15] [============        ] 64% |
[2025-12-30 12:30:15] [============        ] 64% /
[2025-12-30 12:30:16] [============        ] 64% -
[2025-12-30 12:30:16] [============        ] 64% \
[2025-12-30 12:30:17] [============        ] 64% |
[2025-12-30 12:30:17] [============        ] 64% /
[2025-12-30 12:30:18] [============        ] 64% -
[2025-12-30 12:30:18] [============        ] 64% \
[2025-12-30 12:30:19] [============        ] 64% |
[2025-12-30 12:30:19] [============        ] 64% /
[2025-12-30 12:30:20] [============        ] 64% -
[2025-12-30 12:30:20] [============        ] 64% \
[2025-12-30 12:30:21] [============        ] 64% |
[2025-12-30 12:30:21] [============        ] 64% /
[2025-12-30 12:30:22] [============        ] 64% -
[2025-12-30 12:30:22] [============        ] 64% \
[2025-12-30 12:30:23] [============        ] 64% |
[2025-12-30 12:30:23] [============        ] 64% /
[2025-12-30 12:30:24] [============        ] 64% -
[2025-12-30 12:30:24] [============        ] 64% \
[2025-12-30 12:30:25] [============        ] 64% |
[2025-12-30 12:30:25] [============        ] 64% /
[2025-12-30 12:30:26] [============        ] 64% -
[2025-12-30 12:30:26] [============        ] 64% \
[2025-12-30 12:30:27] [============        ] 64% |
[2025-12-30 12:30:27] [============        ] 64% /
[2025-12-30 12:30:28] [============        ] 64% -
[2025-12-30 12:30:28] [============        ] 64% \
[2025-12-30 12:30:29] [============        ] 64% |
[2025-12-30 12:30:29] [============        ] 64% /
[2025-12-30 12:30:30] [============        ] 64% -
[2025-12-30 12:30:30] [============        ] 64% \
[2025-12-30 12:30:31] [============        ] 64% |
[2025-12-30 12:30:31] [============        ] 64% /
[2025-12-30 12:30:32] [============        ] 64% -
[2025-12-30 12:30:32] [============        ] 64% \
[2025-12-30 12:30:33] [============        ] 64% |
[2025-12-30 12:30:33] [============        ] 64% /
[2025-12-30 12:30:34] [============        ] 64% -
[2025-12-30 12:30:34] [============        ] 64% \
[2025-12-30 12:30:35] [============        ] 64% |
[2025-12-30 12:30:35] [============        ] 64% /
[2025-12-30 12:30:36] [=============       ] 65% -
[2025-12-30 12:30:36] [=============       ] 65% \
[2025-12-30 12:30:37] [=============       ] 65% |
[2025-12-30 12:30:37] [=============       ] 65% /
[2025-12-30 12:30:38] [=============       ] 65% -
[2025-12-30 12:30:38] [=============       ] 65% \
[2025-12-30 12:30:39] [=============       ] 66% |
[2025-12-30 12:30:39] [=============       ] 66% /
[2025-12-30 12:30:40] [=============       ] 66% -
[2025-12-30 12:30:40] [=============       ] 66% \
[2025-12-30 12:30:41] [=============       ] 67% |
[2025-12-30 12:30:41] [=============       ] 67% /
[2025-12-30 12:30:42] [=============       ] 67% -
[2025-12-30 12:30:42] [=============       ] 67% \
[2025-12-30 12:30:43] [=============       ] 67% |
[2025-12-30 12:30:43] [=============       ] 67% /
[2025-12-30 12:30:44] [=============       ] 68% -
[2025-12-30 12:30:44] [=============       ] 68% \
[2025-12-30 12:30:45] [=============       ] 68% |
[2025-12-30 12:30:45] [=============       ] 68% /
[2025-12-30 12:30:46] [=============       ] 68% -
[2025-12-30 12:30:46] [=============       ] 68% \
[2025-12-30 12:30:47] [=============       ] 69% |
[2025-12-30 12:30:47] [=============       ] 69% /
[2025-12-30 12:30:48] [=============       ] 69% -
[2025-12-30 12:30:48] [=============       ] 69% \
[2025-12-30 12:30:49] [=============       ] 69% |
[2025-12-30 12:30:50] [=============       ] 69% /
[2025-12-30 12:30:50] [=============       ] 69% -
[2025-12-30 12:30:51] [==============      ] 70% \
[2025-12-30 12:30:51] [==============      ] 70% |
[2025-12-30 12:30:52] [==============      ] 70% /
[2025-12-30 12:30:52] [==============      ] 70% -
[2025-12-30 12:30:53] [==============      ] 70% \
[2025-12-30 12:30:53] [==============      ] 70% |
[2025-12-30 12:30:54] [==============      ] 70% /
[2025-12-30 12:30:54] [==============      ] 70% -
[2025-12-30 12:30:55] [==============      ] 70% \
[2025-12-30 12:30:55] [==============      ] 70% |
[2025-12-30 12:30:56] [==============      ] 70% /
[2025-12-30 12:30:56] [==============      ] 70% -
[2025-12-30 12:30:57] [==============      ] 70% \
[2025-12-30 12:30:57] [==============      ] 70% |
[2025-12-30 12:30:58] [==============      ] 70% /
[2025-12-30 12:30:58] [==============      ] 70% -
[2025-12-30 12:30:59] [==============      ] 70% \
[2025-12-30 12:30:59] [==============      ] 70% |
[2025-12-30 12:31:00] [==============      ] 70% /
[2025-12-30 12:31:00] [==============      ] 70% -
[2025-12-30 12:31:01] [==============      ] 70% \
[2025-12-30 12:31:01] [==============      ] 71% |
[2025-12-30 12:31:02] [==============      ] 71% /
[2025-12-30 12:31:02] [==============      ] 71% -
[2025-12-30 12:31:03] [==============      ] 71% \
[2025-12-30 12:31:03] [==============      ] 71% |
[2025-12-30 12:31:04] [==============      ] 71% /
[2025-12-30 12:31:04] [==============      ] 71% -
[2025-12-30 12:31:05] [==============      ] 71% \
[2025-12-30 12:31:05] [==============      ] 72% |
[2025-12-30 12:31:06] [==============      ] 72% /
[2025-12-30 12:31:06] [==============      ] 72% -
[2025-12-30 12:31:07] [==============      ] 72% \
[2025-12-30 12:31:07] [==============      ] 72% |
[2025-12-30 12:31:08] [==============      ] 72% /
[2025-12-30 12:31:08] [==============      ] 72% -
[2025-12-30 12:31:09] [==============      ] 72% \
[2025-12-30 12:31:09] [==============      ] 72% |
[2025-12-30 12:31:10] [==============      ] 72% /
[2025-12-30 12:31:10] [==============      ] 72% -
[2025-12-30 12:31:11] [==============      ] 72% \
[2025-12-30 12:31:11] [==============      ] 72% |
[2025-12-30 12:31:12] [==============      ] 72% /
[2025-12-30 12:31:12] [==============      ] 72% -
[2025-12-30 12:31:13] [==============      ] 72% \
[2025-12-30 12:31:13] [==============      ] 72% |
[2025-12-30 12:31:14] [==============      ] 72% /
[2025-12-30 12:31:14] [==============      ] 72% -
[2025-12-30 12:31:15] [==============      ] 72% \
[2025-12-30 12:31:15] [==============      ] 72% |
[2025-12-30 12:31:16] [==============      ] 72% /
[2025-12-30 12:31:16] [==============      ] 72% -
[2025-12-30 12:31:17] [==============      ] 72% \
[2025-12-30 12:31:17] [==============      ] 72% |
[2025-12-30 12:31:18] [==============      ] 72% /
[2025-12-30 12:31:18] [==============      ] 72% -
[2025-12-30 12:31:19] [==============      ] 72% \
[2025-12-30 12:31:19] [==============      ] 72% |
[2025-12-30 12:31:20] [==============      ] 72% /
[2025-12-30 12:31:20] [==============      ] 72% -
[2025-12-30 12:31:21] [==============      ] 72% \
[2025-12-30 12:31:21] [==============      ] 72% |
[2025-12-30 12:31:22] [==============      ] 72% /
[2025-12-30 12:31:22] [==============      ] 72% -
[2025-12-30 12:31:23] [==============      ] 72% \
[2025-12-30 12:31:23] [==============      ] 72% |
[2025-12-30 12:31:24] [==============      ] 72% /
[2025-12-30 12:31:24] [==============      ] 72% -
[2025-12-30 12:31:25] [==============      ] 72% \
[2025-12-30 12:31:25] [==============      ] 72% |
[2025-12-30 12:31:26] [==============      ] 72% /
[2025-12-30 12:31:26] [==============      ] 72% -
[2025-12-30 12:31:27] [==============      ] 72% \
[2025-12-30 12:31:27] [==============      ] 72% |
[2025-12-30 12:31:28] [==============      ] 72% /
[2025-12-30 12:31:28] [==============      ] 72% -
[2025-12-30 12:31:29] [==============      ] 72% \
[2025-12-30 12:31:29] [==============      ] 72% |
[2025-12-30 12:31:30] [==============      ] 72% /
[2025-12-30 12:31:30] [==============      ] 72% -
[2025-12-30 12:31:31] [==============      ] 72% \
[2025-12-30 12:31:31] [==============      ] 72% |
[2025-12-30 12:31:32] [==============      ] 72% /
[2025-12-30 12:31:33] [==============      ] 72% -
[2025-12-30 12:31:33] [==============      ] 73% \
[2025-12-30 12:31:34] [==============      ] 73% |
[2025-12-30 12:31:34] [==============      ] 73% /
[2025-12-30 12:31:35] [==============      ] 73% -
[2025-12-30 12:31:35] [==============      ] 73% \
[2025-12-30 12:31:36] [==============      ] 73% |
[2025-12-30 12:31:36] [==============      ] 73% /
[2025-12-30 12:31:37] [==============      ] 73% -
[2025-12-30 12:31:37] [==============      ] 73% \
[2025-12-30 12:31:38] [==============      ] 73% |
[2025-12-30 12:31:38] [==============      ] 73% /
[2025-12-30 12:31:39] [==============      ] 74% -
[2025-12-30 12:31:39] [==============      ] 74% \
[2025-12-30 12:31:40] [==============      ] 74% |
[2025-12-30 12:31:40] [==============      ] 74% /
[2025-12-30 12:31:41] [==============      ] 74% -
[2025-12-30 12:31:41] [==============      ] 74% \
[2025-12-30 12:31:42] [==============      ] 74% |
[2025-12-30 12:31:42] [==============      ] 74% /
[2025-12-30 12:31:43] [==============      ] 74% -
[2025-12-30 12:31:43] [==============      ] 74% \
[2025-12-30 12:31:44] [==============      ] 74% |
[2025-12-30 12:31:44] [==============      ] 74% /
[2025-12-30 12:31:45] [==============      ] 74% -
[2025-12-30 12:31:45] [==============      ] 74% \
[2025-12-30 12:31:46] [==============      ] 74% |
[2025-12-30 12:31:46] [==============      ] 74% /
[2025-12-30 12:31:47] [==============      ] 74% -
[2025-12-30 12:31:47] [==============      ] 74% \
[2025-12-30 12:31:48] [==============      ] 74% |
[2025-12-30 12:31:48] [==============      ] 74% /
[2025-12-30 12:31:49] [==============      ] 74% -
[2025-12-30 12:31:49] [==============      ] 74% \
[2025-12-30 12:31:50] [==============      ] 74% |
[2025-12-30 12:31:50] [==============      ] 74% /
[2025-12-30 12:31:51] [==============      ] 74% -
[2025-12-30 12:31:51] [==============      ] 74% \
[2025-12-30 12:31:52] [==============      ] 74% |
[2025-12-30 12:31:52] [==============      ] 74% /
[2025-12-30 12:31:53] [==============      ] 74% -
[2025-12-30 12:31:53] [==============      ] 74% \
[2025-12-30 12:31:54] [==============      ] 74% |
[2025-12-30 12:31:54] [==============      ] 74% /
[2025-12-30 12:31:55] [==============      ] 74% -
[2025-12-30 12:31:55] [==============      ] 74% \
[2025-12-30 12:31:56] [==============      ] 74% |
[2025-12-30 12:31:56] [==============      ] 74% /
[2025-12-30 12:31:57] [==============      ] 74% -
[2025-12-30 12:31:57] [==============      ] 74% \
[2025-12-30 12:31:58] [==============      ] 74% |
[2025-12-30 12:31:58] [==============      ] 74% /
[2025-12-30 12:31:59] [==============      ] 74% -
[2025-12-30 12:31:59] [==============      ] 74% \
[2025-12-30 12:32:00] [==============      ] 74% |
[2025-12-30 12:32:00] [==============      ] 74% /
[2025-12-30 12:32:01] [==============      ] 74% -
[2025-12-30 12:32:01] [==============      ] 74% \
[2025-12-30 12:32:02] [==============      ] 74% |
[2025-12-30 12:32:02] [==============      ] 74% /
[2025-12-30 12:32:03] [==============      ] 74% -
[2025-12-30 12:32:03] [==============      ] 74% \
[2025-12-30 12:32:04] [==============      ] 74% |
[2025-12-30 12:32:04] [==============      ] 74% /
[2025-12-30 12:32:05] [==============      ] 74% -
[2025-12-30 12:32:05] [==============      ] 74% \
[2025-12-30 12:32:06] [==============      ] 74% |
[2025-12-30 12:32:06] [==============      ] 74% /
[2025-12-30 12:32:07] [==============      ] 74% -
[2025-12-30 12:32:07] [==============      ] 74% \
[2025-12-30 12:32:08] [===============     ] 75% |
[2025-12-30 12:32:08] [===============     ] 75% /
[2025-12-30 12:32:09] [===============     ] 77% -
[2025-12-30 12:32:09] [===============     ] 77% \
[2025-12-30 12:32:10] [===============     ] 77% |
[2025-12-30 12:32:10] [===============     ] 77% /
[2025-12-30 12:32:11] [===============     ] 77% -
[2025-12-30 12:32:11] [===============     ] 77% \
[2025-12-30 12:32:12] [===============     ] 77% |
[2025-12-30 12:32:12] [===============     ] 78% /
[2025-12-30 12:32:13] [===============     ] 78% -
[2025-12-30 12:32:13] [===============     ] 79% \
[2025-12-30 12:32:14] [===============     ] 79% |
[2025-12-30 12:32:14] [===============     ] 79% /
[2025-12-30 12:32:15] [===============     ] 79% -
[2025-12-30 12:32:16] [===============     ] 79% \
[2025-12-30 12:32:16] [===============     ] 79% |
[2025-12-30 12:32:17] [===============     ] 79% /
[2025-12-30 12:32:17] [================    ] 80% -
[2025-12-30 12:32:18] [================    ] 80% \
[2025-12-30 12:32:18] [================    ] 80% |
[2025-12-30 12:32:19] [================    ] 81% /
[2025-12-30 12:32:19] [================    ] 81% -
[2025-12-30 12:32:20] [================    ] 81% \
[2025-12-30 12:32:20] [================    ] 81% |
[2025-12-30 12:32:21] [================    ] 81% /
[2025-12-30 12:32:21] [================    ] 81% -
[2025-12-30 12:32:22] [================    ] 81% \
[2025-12-30 12:32:22] [================    ] 82% |
[2025-12-30 12:32:23] [================    ] 82% /
[2025-12-30 12:32:23] [================    ] 82% -
[2025-12-30 12:32:24] [================    ] 83% \
[2025-12-30 12:32:24] [================    ] 83% |
[2025-12-30 12:32:25] [=================   ] 85% /
[2025-12-30 12:32:25] [=================   ] 85% -
[2025-12-30 12:32:26] [=================   ] 85% \
[2025-12-30 12:32:26] [=================   ] 85% |
[2025-12-30 12:32:27] [=================   ] 85% /
[2025-12-30 12:32:27] [=================   ] 85% -
[2025-12-30 12:32:28] [=================   ] 85% \
[2025-12-30 12:32:28] [=================   ] 85% |
[2025-12-30 12:32:29] [=================   ] 86% /
[2025-12-30 12:32:29] [=================   ] 86% -
[2025-12-30 12:32:30] [=================   ] 86% \
[2025-12-30 12:32:30] [=================   ] 86% |
[2025-12-30 12:32:31] [=================   ] 86% /
[2025-12-30 12:32:31] [=================   ] 86% -
[2025-12-30 12:32:32] [=================   ] 86% \
[2025-12-30 12:32:32] [=================   ] 86% |
[2025-12-30 12:32:33] [=================   ] 86% /
[2025-12-30 12:32:33] [=================   ] 86% -
[2025-12-30 12:32:34] [=================   ] 86% \
[2025-12-30 12:32:34] [=================   ] 86% |
[2025-12-30 12:32:35] [=================   ] 86% /
[2025-12-30 12:32:35] [=================   ] 86% -
[2025-12-30 12:32:36] [=================   ] 86% \
[2025-12-30 12:32:36] [=================   ] 86% |
[2025-12-30 12:32:37] [=================   ] 86% /
[2025-12-30 12:32:37] [=================   ] 86% -
[2025-12-30 12:32:38] [=================   ] 86% \
[2025-12-30 12:32:38] [=================   ] 86% |
[2025-12-30 12:32:39] [=================   ] 86% /
[2025-12-30 12:32:39] [=================   ] 89% -
[2025-12-30 12:32:40] [=================   ] 89% \
[2025-12-30 12:32:40] [==================  ] 90% |
[2025-12-30 12:32:41] [==================  ] 90% /
[2025-12-30 12:32:41] [==================  ] 90% -
[2025-12-30 12:32:42] [==================  ] 90% \
[2025-12-30 12:32:42] [==================  ] 90% |
[2025-12-30 12:32:43] [==================  ] 90% /
